Order #,,UPC,Product Name,Unit Price,Sold Price,Quantity,Total
42586,,31700237977,GAME CIGARILLO 2/$1.29 30*2 PK | GAME CIGARILLO 2/-1.29 WHITE PEACH,29.25,29.25,1,29.25
42586,,31700236864,GAME MINIS CIGARILLOS 3/$1.29 15*3 PK | GAME MINIS CIGARILLOS FOILFRESH BLACK SWEETS,12.99,12.99,1,12.99
42586,,31700236628,GAME MINIS CIGARILLOS 3/$1.29 15*3 PK | GAME MINIS CIGARILLOS FOILFRESH BLUE,12.99,12.99,1,12.99
42586,,31700236840,GAME MINIS CIGARILLOS 3/$1.29 15*3 PK | GAME MINIS CIGARILLOS FOILFRESH DIAMOND,12.99,12.99,1,12.99
42586,,31700236611,GAME MINIS CIGARILLOS 3/$1.29 15*3 PK | GAME MINIS CIGARILLOS FOILFRESH RED SWEETS,12.99,12.99,1,12.99
42586,,812319018948,GOOD TIMES POUCH 3/$1.19 15*3 PK | GOOD TIMES GREEN SWEET POUCH,10.19,10.19,1,10.19
42586,,855906007031,GRABBA LEAF 10PK,43.9,43.9,1,43.9
42586,,738607283006,SLAPWOODS WRAPS 10*5PK | SLAPWOODS WRAPS BLOODSHOT,56.5,49,1,49
42586,,738607282856,SLAPWOODS WRAPS 10*5PK | SLAPWOODS WRAPS DARK EDITION,52.9,49,1,49
42586,,784668242537,SLAPWOODS WRAPS 10*5PK | SLAPWOODS WRAPS DUBAI CHOCOLATE,56.99,49,1,49
42586,,738607282825,SLAPWOODS WRAPS 10*5PK | SLAPWOODS WRAPS NATURAL,52.9,49,1,49
42586,,738607282955,SLAPWOODS WRAPS 10*5PK | SLAPWOODS WRAPS RUSSIAN CREAM,52.9,49,1,49
42586,,738607282771,SLAPWOODS WRAPS 10*5PK | SLAPWOODS WRAPS SWEET BANANA,52.9,52,1,52
42586,,25900469306,SWISHER SWEET COMBO ORG IRISH PEACHLEAF WRAPS 3/30PK,44.59,42,1,42
42586,,25900325749,SWISHER SWEETS BLK CIGARILLOS 2/$1.49 15*2PK | SWISHER SWEETS BLK - BERRY,15.39,15.39,1,15.39
42586,,25900325725,SWISHER SWEETS BLK CIGARILLOS 2/$1.49 15*2PK | SWISHER SWEETS BLK - CHERRY,15.39,15,1,15
